Grupo;Produto;Ano;Valor
VINHO FINO DE MESA (VINÍFERA);Branco;1982;34423412
VINHO FINO DE MESA (VINÍFERA);Branco;1983;24164361
VINHO FINO DE MESA (VINÍFERA);Branco;1984;30395959
VINHO FINO DE MESA (VINÍFERA);Branco;1985;44679484
VINHO FINO DE MESA (VINÍFERA);Branco;1986;34794145
VINHO FINO DE MESA (VINÍFERA);Branco;1987;35432544
VINHO FINO DE MESA (VINÍFERA);Branco;1988;56441847
VINHO FINO DE MESA (VINÍFERA);Branco;1989;54983093
VINHO FINO DE MESA (VINÍFERA);Branco;1990;52080420
VINHO FINO DE MESA (VINÍFERA);Branco;1991;33307472
VINHO FINO DE MESA (VINÍFERA);Branco;1992;38856367
VINHO FINO DE MESA (VINÍFERA);Branco;1993;40415898
VINHO FINO DE MESA (VINÍFERA);Branco;1994;42419680
VINHO FINO DE MESA (VINÍFERA);Branco;1995;34209738
VINHO FINO DE MESA (VINÍFERA);Branco;1996;31893892
VINHO FINO DE MESA (VINÍFERA);Branco;1997;33792167
VINHO FINO DE MESA (VINÍFERA);Branco;1998;24384090
VINHO FINO DE MESA (VINÍFERA);Branco;1999;30674840
VINHO FINO DE MESA (VINÍFERA);Branco;2000;36955126
VINHO FINO DE MESA (VINÍFERA);Branco;2001;20393594
VINHO FINO DE MESA (VINÍFERA);Branco;2002;17911689
VINHO FINO DE MESA (VINÍFERA);Branco;2003;14058481
VINHO FINO DE MESA (VINÍFERA);Branco;2004;19803647
VINHO FINO DE MESA (VINÍFERA);Branco;2005;20012363
VINHO FINO DE MESA (VINÍFERA);Branco;2006;13249969
VINHO FINO DE MESA (VINÍFERA);Branco;2007;17598428
VINHO FINO DE MESA (VINÍFERA);Branco;2008;18812571
VINHO FINO DE MESA (VINÍFERA);Branco;2009;21366975
VINHO FINO DE MESA (VINÍFERA);Branco;2010;13013027
VINHO FINO DE MESA (VINÍFERA);Branco;2011;22739426
VINHO FINO DE MESA (VINÍFERA);Branco;2012;20647238
VINHO FINO DE MESA (VINÍFERA);Branco;2013;21906349
VINHO FINO DE MESA (VINÍFERA);Branco;2014;20054804
VINHO FINO DE MESA (VINÍFERA);Branco;2015;19561966
VINHO FINO DE MESA (VINÍFERA);Branco;2016;8705066
VINHO FINO DE MESA (VINÍFERA);Branco;2017;21928400
VINHO FINO DE MESA (VINÍFERA);Branco;2018;18297257
VINHO FINO DE MESA (VINÍFERA);Branco;2019;18193055
VINHO FINO DE MESA (VINÍFERA);Branco;2020;15487915
VINHO FINO DE MESA (VINÍFERA);Branco;2021;20867999
VINHO FINO DE MESA (VINÍFERA);Rosado;1970;744900
VINHO FINO DE MESA (VINÍFERA);Rosado;1971;664687
VINHO FINO DE MESA (VINÍFERA);Rosado;1972;1006630
VINHO FINO DE MESA (VINÍFERA);Rosado;1973;1018715
VINHO FINO DE MESA (VINÍFERA);Rosado;1974;2668995
VINHO FINO DE MESA (VINÍFERA);Rosado;1975;2759789
VINHO FINO DE MESA (VINÍFERA);Rosado;1976;2220777
VINHO FINO DE MESA (VINÍFERA);Rosado;1977;4723982
VINHO FINO DE MESA (VINÍFERA);Rosado;1978;4110181
VINHO FINO DE MESA (VINÍFERA);Rosado;1979;6046125
VINHO FINO DE MESA (VINÍFERA);Rosado;1980;3117350
VINHO FINO DE MESA (VINÍFERA);Rosado;1981;5782808
VINHO FINO DE MESA (VINÍFERA);Rosado;1982;3042581
VINHO FINO DE MESA (VINÍFERA);Rosado;1983;2111937
VINHO FINO DE MESA (VINÍFERA);Rosado;1984;2115718
VINHO FINO DE MESA (VINÍFERA);Rosado;1985;3007930
VINHO FINO DE MESA (VINÍFERA);Rosado;1986;1482068
VINHO FINO DE MESA (VINÍFERA);Rosado;1987;948649
VINHO FINO DE MESA (VINÍFERA);Rosado;1988;1428400
VINHO FINO DE MESA (VINÍFERA);Rosado;1989;1648300
VINHO FINO DE MESA (VINÍFERA);Rosado;1990;3858200
VINHO FINO DE MESA (VINÍFERA);Rosado;1991;209800
VINHO FINO DE MESA (VINÍFERA);Rosado;1992;306500
VINHO FINO DE MESA (VINÍFERA);Rosado;1993;518842
VINHO FINO DE MESA (VINÍFERA);Rosado;1994;667200
VINHO FINO DE MESA (VINÍFERA);Rosado;1995;992200
VINHO FINO DE MESA (VINÍFERA);Rosado;1996;611300
VINHO FINO DE MESA (VINÍFERA);Rosado;1997;605600
VINHO FINO DE MESA (VINÍFERA);Rosado;1998;798400
VINHO FINO DE MESA (VINÍFERA);Rosado;1999;515000
VINHO FINO DE MESA (VINÍFERA);Rosado;2000;709000
VINHO FINO DE MESA (VINÍFERA);Rosado;2001;178000
VINHO FINO DE MESA (VINÍFERA);Rosado;2002;124504
VINHO FINO DE MESA (VINÍFERA);Rosado;2003;135400
VINHO FINO DE MESA (VINÍFERA);Rosado;2004;36779
VINHO FINO DE MESA (VINÍFERA);Rosado;2005;31730
VINHO FINO DE MESA (VINÍFERA);Rosado;2006;50900
VINHO FINO DE MESA (VINÍFERA);Rosado;2007;791985
VINHO FINO DE MESA (VINÍFERA);Rosado;2008;938898
VINHO FINO DE MESA (VINÍFERA);Rosado;2009;324550
VINHO FINO DE MESA (VINÍFERA);Rosado;2010;391280
VINHO FINO DE MESA (VINÍFERA);Rosado;2011;754305
VINHO FINO DE MESA (VINÍFERA);Rosado;2012;525903
VINHO FINO DE MESA (VINÍFERA);Rosado;2013;719723
VINHO FINO DE MESA (VINÍFERA);Rosado;2014;1200514
VINHO FINO DE MESA (VINÍFERA);Rosado;2015;841120
VINHO FINO DE MESA (VINÍFERA);Rosado;2016;590713
VINHO FINO DE MESA (VINÍFERA);Rosado;2017;1167258
VINHO FINO DE MESA (VINÍFERA);Rosado;2018;1291709
VINHO FINO DE MESA (VINÍFERA);Rosado;2019;2032990
VINHO FINO DE MESA (VINÍFERA);Rosado;2020;1576888
VINHO FINO DE MESA (VINÍFERA);Rosado;2021;2173750
SUCO;Suco de uva integral;1970;1097771
SUCO;Suco de uva integral;1971;2296654
SUCO;Suco de uva integral;1972;3509440
SUCO;Suco de uva integral;1973;0
SUCO;Suco de uva integral;1974;0
SUCO;Suco de uva integral;1975;0
SUCO;Suco de uva integral;1976;0
SUCO;Suco de uva integral;1977;0
SUCO;Suco de uva integral;1978;0
SUCO;Suco de uva integral;1979;0
SUCO;Suco de uva integral;1980;0
SUCO;Suco de uva integral;1981;0
SUCO;Suco de uva integral;1982;0
SUCO;Suco de uva integral;1983;0
SUCO;Suco de uva integral;1984;0
SUCO;Suco de uva integral;1985;3544706
SUCO;Suco de uva integral;1986;2116507
SUCO;Suco de uva integral;1987;2262240
SUCO;Suco de uva integral;1988;2018000
SUCO;Suco de uva integral;1989;2824600
SUCO;Suco de uva integral;1990;2848560
SUCO;Suco de uva integral;1991;3609000
SUCO;Suco de uva integral;1992;4033698
SUCO;Suco de uva integral;1993;3800800
SUCO;Suco de uva integral;1994;3884000
SUCO;Suco de uva integral;1995;4123776
SUCO;Suco de uva integral;1996;2407900
SUCO;Suco de uva integral;1997;2884969
SUCO;Suco de uva integral;1998;3904186
SUCO;Suco de uva integral;1999;4132303
SUCO;Suco de uva integral;2000;3546779
SUCO;Suco de uva integral;2001;5196430
SUCO;Suco de uva integral;2002;5505889
SUCO;Suco de uva integral;2003;1372381
SUCO;Suco de uva integral;2004;6222380
SUCO;Suco de uva integral;2005;7103175
SUCO;Suco de uva integral;2006;13946491
SUCO;Suco de uva integral;2007;10147037
SUCO;Suco de uva integral;2008;11817941
SUCO;Suco de uva integral;2009;16034003
SUCO;Suco de uva integral;2010;26887259
SUCO;Suco de uva integral;2011;39487800
SUCO;Suco de uva integral;2012;31908829
SUCO;Suco de uva integral;2013;33673396
SUCO;Suco de uva integral;2014;43331223
SUCO;Suco de uva integral;2015;52233155
SUCO;Suco de uva integral;2016;31117869
SUCO;Suco de uva integral;2017;46865626
SUCO;Suco de uva integral;2018;34367996
SUCO;Suco de uva integral;2019;50239767
SUCO;Suco de uva integral;2020;40718523
SUCO;Suco de uva integral;2021;68038479
SUCO;Suco de uva concentrado;1970;0
SUCO;Suco de uva concentrado;1971;0
SUCO;Suco de uva concentrado;1972;0
SUCO;Suco de uva concentrado;1973;0
SUCO;Suco de uva concentrado;1974;0
SUCO;Suco de uva concentrado;1975;0
SUCO;Suco de uva concentrado;1976;0
SUCO;Suco de uva concentrado;1977;0
SUCO;Suco de uva concentrado;1978;0
SUCO;Suco de uva concentrado;1979;0
SUCO;Suco de uva concentrado;1980;0
SUCO;Suco de uva concentrado;1981;0
SUCO;Suco de uva concentrado;1982;0
SUCO;Suco de uva concentrado;1983;0
SUCO;Suco de uva concentrado;1984;0
SUCO;Suco de uva concentrado;1985;3086961
SUCO;Suco de uva concentrado;1986;2197261
SUCO;Suco de uva concentrado;1987;3206776
SUCO;Suco de uva concentrado;1988;5568870
SUCO;Suco de uva concentrado;1989;4098583
SUCO;Suco de uva concentrado;1990;7574692
SUCO;Suco de uva concentrado;1991;7715462
SUCO;Suco de uva concentrado;1992;6763926
SUCO;Suco de uva concentrado;1993;8230953
SUCO;Suco de uva concentrado;1994;9459721
SUCO;Suco de uva concentrado;1995;8770183
SUCO;Suco de uva concentrado;1996;6782000
SUCO;Suco de uva concentrado;1997;10524045
SUCO;Suco de uva concentrado;1998;10000000
SUCO;Suco de uva concentrado;1999;11400000
SUCO;Suco de uva concentrado;2000;14176000
SUCO;Suco de uva concentrado;2001;12790752
SUCO;Suco de uva concentrado;2002;14722802
SUCO;Suco de uva concentrado;2003;11048364
SUCO;Suco de uva concentrado;2004;17855732
SUCO;Suco de uva concentrado;2005;19513244
SUCO;Suco de uva concentrado;2006;17414605
SUCO;Suco de uva concentrado;2007;19280709
SUCO;Suco de uva concentrado;2008;23014646
SUCO;Suco de uva concentrado;2009;23006457
SUCO;Suco de uva concentrado;2010;23238685
SUCO;Suco de uva concentrado;2011;29564324
SUCO;Suco de uva concentrado;2012;37624855
SUCO;Suco de uva concentrado;2013;31206394
SUCO;Suco de uva concentrado;2014;33392314
SUCO;Suco de uva concentrado;2015;35661313
SUCO;Suco de uva concentrado;2016;11092520
SUCO;Suco de uva concentrado;2017;30059271
SUCO;Suco de uva concentrado;2018;31099910
SUCO;Suco de uva concentrado;2019;26861009
SUCO;Suco de uva concentrado;2020;27963865
SUCO;Suco de uva concentrado;2021;32131218
SUCO;Suco de uva adoçado;1970;0
SUCO;Suco de uva adoçado;1971;0
SUCO;Suco de uva adoçado;1972;0
SUCO;Suco de uva adoçado;1973;0
SUCO;Suco de uva adoçado;1974;0
SUCO;Suco de uva adoçado;1975;0
SUCO;Suco de uva adoçado;1976;0
SUCO;Suco de uva adoçado;1977;0
SUCO;Suco de uva adoçado;1978;0
SUCO;Suco de uva adoçado;1979;0
SUCO;Suco de uva adoçado;1980;0
SUCO;Suco de uva adoçado;1981;0
SUCO;Suco de uva adoçado;1982;0
SUCO;Suco de uva adoçado;1983;0
SUCO;Suco de uva adoçado;1984;0
SUCO;Suco de uva adoçado;1985;0
SUCO;Suco de uva adoçado;1986;0
SUCO;Suco de uva adoçado;1987;0
SUCO;Suco de uva adoçado;1988;0
SUCO;Suco de uva adoçado;1989;0
SUCO;Suco de uva adoçado;1990;0
SUCO;Suco de uva adoçado;1991;0
SUCO;Suco de uva adoçado;1992;0
SUCO;Suco de uva adoçado;1993;0
SUCO;Suco de uva adoçado;1994;0
SUCO;Suco de uva adoçado;1995;0
SUCO;Suco de uva adoçado;1996;0
SUCO;Suco de uva adoçado;1997;0
SUCO;Suco de uva adoçado;1998;0
SUCO;Suco de uva adoçado;1999;0
SUCO;Suco de uva adoçado;2000;0
SUCO;Suco de uva adoçado;2001;0
SUCO;Suco de uva adoçado;2002;0
SUCO;Suco de uva adoçado;2003;0
SUCO;Suco de uva adoçado;2004;0
SUCO;Suco de uva adoçado;2005;1344177
SUCO;Suco de uva adoçado;2006;0
SUCO;Suco de uva adoçado;2007;709098
SUCO;Suco de uva adoçado;2008;815407
SUCO;Suco de uva adoçado;2009;674638
SUCO;Suco de uva adoçado;2010;0
SUCO;Suco de uva adoçado;2011;312200
SUCO;Suco de uva adoçado;2012;533048
SUCO;Suco de uva adoçado;2013;0
SUCO;Suco de uva adoçado;2014;0
SUCO;Suco de uva adoçado;2015;0
SUCO;Suco de uva adoçado;2016;0
SUCO;Suco de uva adoçado;2017;177774
SUCO;Suco de uva adoçado;2018;0
SUCO;Suco de uva adoçado;2019;120320
SUCO;Suco de uva adoçado;2020;107289
SUCO;Suco de uva adoçado;2021;40450
SUCO;Suco de uva orgânico;1970;0
SUCO;Suco de uva orgânico;1971;0
SUCO;Suco de uva orgânico;1972;0
SUCO;Suco de uva orgânico;1973;0
SUCO;Suco de uva orgânico;1974;0
SUCO;Suco de uva orgânico;1975;0
SUCO;Suco de uva orgânico;1976;0
SUCO;Suco de uva orgânico;1977;0
SUCO;Suco de uva orgânico;1978;0
SUCO;Suco de uva orgânico;1979;0
SUCO;Suco de uva orgânico;1980;0
SUCO;Suco de uva orgânico;1981;0
SUCO;Suco de uva orgânico;1982;0
SUCO;Suco de uva orgânico;1983;0
SUCO;Suco de uva orgânico;1984;0
SUCO;Suco de uva orgânico;1985;0
SUCO;Suco de uva orgânico;1986;0
SUCO;Suco de uva orgânico;1987;0
SUCO;Suco de uva orgânico;1988;0
SUCO;Suco de uva orgânico;1989;0
SUCO;Suco de uva orgânico;1990;0
SUCO;Suco de uva orgânico;1991;0
SUCO;Suco de uva orgânico;1992;0
SUCO;Suco de uva orgânico;1993;0
SUCO;Suco de uva orgânico;1994;0
SUCO;Suco de uva orgânico;1995;0
SUCO;Suco de uva orgânico;1996;0
SUCO;Suco de uva orgânico;1997;0
SUCO;Suco de uva orgânico;1998;0
SUCO;Suco de uva orgânico;1999;0
SUCO;Suco de uva orgânico;2000;0
SUCO;Suco de uva orgânico;2001;0
SUCO;Suco de uva orgânico;2002;0
SUCO;Suco de uva orgânico;2003;0
